name;description;tel;email;url;address;city;zipcode;country_code;country;lattitude;longitude;opening_hours;foursquare_vid;last_updated;;;;;;;;;
Arminius;;;;;;Rotterdam;;NL;Netherlands;NULL;NULL;;7ebbe779-5fd4-4b5f-95dc-48e04afdd617;28 feb 2009 10:24;;;;;;;;;
Centrum Beeldende Kunst;"The Centrum Beeldende Kunst Rotterdam has been encouraging the art climate in Rotterdam for a quarter of a century. The origins thereof lie in an inspired mission statement: in assignment of the local government the CBK has taken on the task of strengthening the position of visual arts in Rotterdam as well as the visual artist of Rotterdam by creating most favourable conditions for the production, presentation and sale of visual art in all sectors of society. And appeal for constant awareness and appreciation from a broad public by developing and initiating activities which are accessible to all, such as the following:
";010 436 0288;cbk@cbk.rotterdam.nl;http://www.cbkrotterdam.nl;Nieuwe Binnenweg 75;Rotterdam;3014 GE;NL;Netherlands;51.916.302;4.469.564;open di - zo 11 - 18 uur;499b3629-34fc-4dce-ae70-44dc5e4cc744;6 mrt 2010 16:32;;;;;;;;;
Kunsthal Rotterdam;The Kunsthal presents culture in the widest sense of the word: old art, new art, design, photography - from elitist to popular. The Kunsthal frequently experiments with themes which in many cases provide the first impulse for an exhibition. This approach has resulted in an exciting and varied exhibition repertoire highlighting Impressionism, lingerie, Leonardo da Vinci, Blackfoot Indians, Jewels o;+31 (0)10 - 44 00 301;communication@kunsthal.nl;http://www.kunsthal.nl/;"Westzeedijk 341
";Rotterdam;3015 AA;NL;Netherlands;51.910.720;4.473.807;;49392d98-4530-40c9-9abb-10005e4cc744;24 jan 2010 12:39;;;;;;;;;
Cruise Terminal Rotterdam;;;;http://www.ret.rotterdam.nl/;A Central location in Rotterdam often used for large exhibitions and events;Rotterdam;;NL;Netherlands;51.922.690;4.470.787;;498ea0a4-eb8c-40a7-8202-34955e4cc744;6 mrt 2010 16:33;;;;;;;;;
Ron Mandos;;;info@ronmandos.nl;http://www.ronmandos.nl/;"Rodenrijselaan 24
Rotterdam ";Rotterdam;3037 XE ;NL;Netherlands;51.935.300;4.472.497;;498ea298-bcc8-4e19-a8de-28725e4cc744;6 mrt 2010 16:45;;;;;;;;;
Cokkie Snoei;"Rotterdam is not the first city that comes to mind when considering contemporary art. Cokkie Snoei is the only woman that comes to mind when discussing art and Rotterdam.

Established in 1989 her gallery specialises in contemporary art and maintains a unique inventory of twentieth-century vintage photography.The gallery has built a reputation for it's strong association with both established and unknown artists. ";+31 010 4129274;info@cokkiesnoei.com;http://www.cokkiesnoei.com;Mauritsweg 55;Rotterdam;3012 JX;NL;Netherlands;51.917.703;4.472.785;;498f49a4-11f8-47de-8ba3-36235e4cc744;28 feb 2009 12:39;;;;;;;;;
Onno van Toor Gallery;;+31 650261898;;;Voorhaven 38c;Rotterdam;3024 RN;NL;Netherlands;51.907.489;4.448.747;;498f4a83-c560-4df8-8ef6-36265e4cc744;6 mrt 2010 16:45;;;;;;;;;
Mirta Demare, ruime voor actuele kunst;;+31 010 2810266;;;Bergsingel 176B;Rotterdam;3037 GN;NL;Netherlands;51.934.705;4.470.506;;498f4ba2-7760-4f86-a5cf-36235e4cc744;6 mrt 2010 16:42;;;;;;;;;
MKgalerie;;+31 010 2130991;;http://www.mkgalerie.nl/;Witte de Withstraat 53;Rotterdam;3012 BM;NL;Netherlands;51.915.583;4.477.088;;498f4bcc-efb8-41ef-9d43-36265e4cc744;6 mrt 2010 16:43;;;;;;;;;
PHOEBUS Rotterdam;;+31 010 4145151;;;Eendrachtsweg 61;Rotterdam;3012 LG;NL;Netherlands;51.913.141;4.476.505;;498f4c09-830c-4b1a-8b97-36235e4cc744;6 mrt 2010 16:45;;;;;;;;;
RAM Gallery;;+31 010 4767644;;;Blerkerstraat 10;Rotterdam;3011 CH;NL;Netherlands;42.691.508;-73.887.637;;498f4c3a-0514-4c7d-a8d6-36265e4cc744;6 mrt 2010 16:45;;;;;;;;;
V!P's International Art Galleries;;+31 010 2251120;;http://www.vipsart.nl/;Van Vollenhovenstraat 15;Rotterdam;3016 BE ;NL;Netherlands;51.910.104;4.477.655;;498f4f5e-f748-4e5a-9f4d-374e5e4cc744;6 mrt 2010 16:50;;;;;;;;;
Boijmans Van Beuningen;"Visit Museum Boijmans Van Beuningen and travel through the history of art, from the Middle Ages to the 21st century. From Bosch, Rembrandt and Van Gogh to Dalí and Dutch Design, there's something for everyone.

Tuesdays to Sundays 11.00 to 17.00
";+31 (0)10 44 19 400;info@boijmans.nl;http://www.boijmans.nl/;Museumpark 18-20;Rotterdam;3015 CX;NL;Netherlands;51.914.835;4.473.985;Tue. to Sun. 11.00 to 17.00;49900f40-f738-44eb-b79a-547b5e4cc744;10 jan 2010 16:55;;;;;;;;;
De KunstSuper;De KunstSuper is intermediair bij projecten op het snijvlak van kunst & communicatie. Bij alle projecten die de KunstSuper uitvoert, vormt kunst de belangrijkste conceptuele component;010 - 243 08 16;info@dekunstsuper.nl;http://www.dekunstsuper.nl;Grote Visserijstraat 7B;Rotterdam;3026 CA Rotterdam;NL;Netherlands;51.915.729;4.442.956;;49909d28-04d4-41cd-8be2-590a5e4cc744;23 apr 2010 04:02;;;;;;;;;
